,Club,Season,Squad_Total,Average_Age,Foreign_Players,Total_Market_Value,log_Total_Mkt,Average_Market_Value,log_Avg_Mkt
0,manchester-united,2017-2018,35,25.1,22,580.59,6.364044827880369,16.59,2.808800104202353
1,chelsea,2017-2018,45,23.7,32,577.94,6.3594700570557645,12.84,2.552565298261815
2,arsenal,2017-2018,45,23.8,27,570.51,6.346530697632295,12.68,2.5400259490090797
3,manchester-city,2017-2018,32,24.1,19,554.72,6.318463481936713,17.33,2.8524391037275145
4,tottenham-hotspur,2017-2018,34,23.8,22,481.82,6.177570600319628,14.17,2.6511270537025893
5,liverpool,2017-2018,35,24.0,21,445.5,6.099197246910864,12.73,2.543961412569315
6,everton,2017-2018,48,23.9,26,312.08,5.743259565198401,6.5,1.8718021769015913
7,west-ham-united,2017-2018,41,24.3,24,238.37,5.473824088346638,5.81,1.7595805708638197
8,leicester-city,2017-2018,34,25.5,21,226.89,5.424465318536048,6.67,1.8976198599275322
9,southampton,2017-2018,29,24.9,16,222.75,5.406050066350919,7.68,2.038619547159581
10,crystal-palace,2017-2018,41,24.8,23,174.98,5.164671681678119,4.27,1.451613827240533
11,stoke-city,2017-2018,35,25.2,27,160.02,5.075298807421978,4.57,1.5195132049061133
12,swansea-city,2017-2018,36,25.3,32,154.21,5.038315309869565,4.28,1.4539530095937054
13,watford,2017-2018,37,25.9,27,150.57,5.014428092334952,4.07,1.4036429994545037
14,newcastle-united,2017-2018,37,24.4,25,150.55,5.014295254927743,4.07,1.4036429994545037
15,west-bromwich-albion,2017-2018,33,25.5,17,148.95,5.003610679159292,4.51,1.506297153514587
16,bournemouth,2017-2018,35,25.0,13,104.49,4.649091373046019,2.99,1.095273387402595
17,brighton-and-hove-albion,2017-2018,39,25.8,26,96.08,4.565181177771728,2.46,0.9001613499442714
18,burnley,2017-2018,30,26.8,16,87.17,4.467860235023485,2.91,1.0681530811834012
19,huddersfield-town,2017-2018,35,24.6,18,57.96,4.059753117452481,1.66,0.5068176023684519
0,manchester-city,2016-2017,44,24.7,36,559.26,6.326614481301121,12.71,2.542389085201363
1,chelsea,2016-2017,49,23.8,41,542.97,6.2970540697888895,11.08,2.405141681319138
2,manchester-united,2016-2017,42,23.5,24,479.93,6.173640259933888,11.43,2.4362414778067194
3,arsenal,2016-2017,42,23.7,26,470.48,6.153753450151701,11.2,2.4159137783010487
4,liverpool,2016-2017,38,23.4,23,354.74,5.87138512677744,9.34,2.234306252240751
5,tottenham-hotspur,2016-2017,38,22.7,20,346.95,5.849180677345558,9.13,2.211565694606877
6,everton,2016-2017,39,24.9,22,255.92,5.544864895641263,6.56,1.8809906029559975
7,west-ham-united,2016-2017,44,23.7,28,216.7,5.378513908542313,4.92,1.5933085305042167
8,crystal-palace,2016-2017,45,25.1,26,194.13,5.268528037737284,4.31,1.4609379041156563
