,Date,Club,Attacking,Attacking_Cumulative,Possession,Possession_Cumulative,Defensive,Defensive_Cumuluative,Overall,Overall_Cumulative
0,13.8.2017,manchester-united,239.13,0.0,55.79,0.0,72.99,0.0,367.91,0.0
1,19.8.2017,manchester-united,93.45,332.58,58.78,114.57,146.75,219.74,298.98,666.8900000000001
2,26.8.2017,manchester-united,142.78,475.36,72.55,187.12,46.43,266.17,261.76,928.6500000000001
3,9.9.2017,manchester-united,-2.6,472.76,26.31,213.43,-14.41,251.76000000000002,9.3,937.95
4,17.9.2017,manchester-united,72.68,545.44,9.9,223.33,61.11,312.87,143.69,1081.64
5,23.9.2017,manchester-united,57.64,603.08,-26.19,197.14000000000001,154.96,467.83000000000004,186.41,1268.0500000000002
6,30.9.2017,manchester-united,50.09,653.1700000000001,5.37,202.51000000000002,45.61,513.44,101.07,1369.1200000000001
7,14.10.2017,manchester-united,45.64,698.8100000000001,-50.27,152.24,1.32,514.7600000000001,-3.31,1365.8100000000002
8,21.10.2017,manchester-united,81.92,780.73,47.68,199.92000000000002,-111.96,402.8000000000001,17.64,1383.4500000000003
9,28.10.2017,manchester-united,4.96,785.69,8.41,208.33,3.78,406.5800000000001,17.15,1400.6000000000004
10,5.11.2017,manchester-united,42.74,828.4300000000001,-31.38,176.95000000000002,0.23,406.8100000000001,11.59,1412.1900000000003
11,18.11.2017,manchester-united,236.7,1065.13,117.63,294.58000000000004,-24.48,382.3300000000001,329.85,1742.0400000000004
12,25.11.2017,manchester-united,91.32,1156.45,41.39,335.97,90.2,472.5300000000001,222.91,1964.9500000000005
13,28.11.2017,manchester-united,353.19,1509.64,-52.64,283.33000000000004,-50.45,422.0800000000001,250.1,2215.0500000000006
14,2.12.2017,manchester-united,156.39,1666.0300000000002,-32.05,251.28000000000003,122.75,544.8300000000002,247.09,2462.140000000001
15,10.12.2017,manchester-united,84.4,1750.4300000000003,-79.61,171.67000000000002,-102.4,442.4300000000002,-97.61,2364.5300000000007
16,13.12.2017,manchester-united,5.91,1756.3400000000004,4.09,175.76000000000002,39.99,482.4200000000002,49.99,2414.5200000000004
17,17.12.2017,manchester-united,141.98,1898.3200000000004,37.0,212.76000000000002,14.65,497.07000000000016,193.63,2608.1500000000005
18,23.12.2017,manchester-united,23.46,1921.7800000000004,16.38,229.14000000000001,6.92,503.9900000000002,46.76,2654.9100000000008
19,26.12.2017,manchester-united,222.54,2144.3200000000006,113.83,342.97,-56.98,447.01000000000016,279.39,2934.3000000000006
20,30.12.2017,manchester-united,41.2,2185.5200000000004,60.46,403.43,125.99,573.0000000000001,227.65,3161.9500000000007
21,1.1.2018,manchester-united,101.81,2287.3300000000004,45.67,449.1,38.74,611.7400000000001,186.22,3348.1700000000005
22,15.1.2018,manchester-united,308.32,2595.6500000000005,106.64,555.74,99.54,711.2800000000001,514.5,3862.6700000000005
23,20.1.2018,manchester-united,3.63,2599.2800000000007,21.81,577.55,12.35,723.6300000000001,37.79,3900.4600000000005
24,31.1.2018,manchester-united,-9.67,2589.6100000000006,-24.59,552.9599999999999,-44.22,679.4100000000001,-78.48,3821.9800000000005
25,3.2.2018,manchester-united,77.46,2667.0700000000006,75.0,627.9599999999999,79.72,759.1300000000001,232.18,4054.1600000000003
26,11.2.2018,manchester-united,108.53,2775.600000000001,-3.8,624.16,-61.7,697.4300000000001,43.03,4097.1900000000005
27,25.2.2018,manchester-united,207.65,2983.250000000001,-6.74,617.42,-8.7,688.73,192.21,4289.400000000001
28,5.3.2018,manchester-united,276.23,3259.480000000001,65.74,683.16,-194.4,494.33000000000004,147.57,4436.97
29,10.3.2018,manchester-united,133.99,3393.470000000001,-19.73,663.43,14.87,509.20000000000005,129.13,4566.1
30,31.3.2018,manchester-united,92.1,3485.570000000001,46.34,709.77,29.03,538.23,167.47,4733.570000000001
31,7.4.2018,manchester-united,16.09,3501.660000000001,-28.8,680.97,-75.48,462.75,-88.19,4645.380000000001
32,15.4.2018,manchester-united,89.72,3591.380000000001,116.32,797.29,-14.43,448.32,191.61,4836.990000000001
33,18.4.2018,manchester-united,210.18,3801.560000000001,63.57,860.86,133.8,582.12,407.55,5244.540000000001
34,29.4.2018,manchester-united,136.36,3937.920000000001,73.4,934.26,-19.33,562.79,190.43,5434.970000000001
35,4.5.2018,manchester-united,96.62,4034.540000000001,107.73,1041.99,-14.47,548.3199999999999,189.88,5624.850000000001
36,10.5.2018,manchester-united,104.59,4139.130000000001,100.28,1142.27,55.02,603.3399999999999,259.89,5884.740000000002
37,13.5.2018,manchester-united,98.68,4237.810000000001,-51.22,1091.05,160.06,763.3999999999999,207.52,6092.260000000002
0,12.8.2017,chelsea,182.92,0.0,50.22,0.0,-130.11,0.0,103.03,0.0
1,20.8.2017,chelsea,99.9,282.82,-50.54,-0.3200000000000003,80.64,-49.47000000000001,130.0,233.03
2,27.8.2017,chelsea,208.41,491.23,75.77,75.44999999999999,27.1,-22.37000000000001,311.28,544.31
3,9.9.2017,chelsea,18.13,509.36,10.23,85.67999999999999,-9.07,-31.440000000000012,19.29,563.5999999999999
4,17.9.2017,chelsea,88.42,597.78,-47.01,38.669999999999995,105.3,73.85999999999999,146.71,710.31
5,23.9.2017,chelsea,99.99,697.77,-19.84,18.829999999999995,138.11,211.97,218.26,928.5699999999999
6,30.9.2017,chelsea,29.74,727.51,-79.34,-60.510000000000005,83.61,295.58,34.01,962.5799999999999
7,14.10.2017,chelsea,46.41,773.92,-0.39,-60.900000000000006,10.91,306.49,56.93,1019.5099999999999
8,21.10.2017,chelsea,254.43,1028.35,-9.65,-70.55000000000001,66.79,373.28000000000003,311.57,1331.08
9,28.10.2017,chelsea,110.69,1139.04,119.33,48.77999999999999,97.62,470.90000000000003,327.64,1658.7199999999998
10,5.11.2017,chelsea,130.96,1270.0,-4.48,44.29999999999998,186.24,657.1400000000001,312.72,1971.4399999999998
11,18.11.2017,chelsea,152.93,1422.93,21.94,66.23999999999998,39.49,696.6300000000001,214.36,2185.7999999999997
12,25.11.2017,chelsea,68.4,1491.3300000000002,-3.15,63.08999999999998,4.58,701.2100000000002,69.83,2255.6299999999997
13,29.11.2017,chelsea,27.92,1519.2500000000002,17.81,80.89999999999998,69.18,770.3900000000001,114.91,2370.5399999999995
14,2.12.2017,chelsea,291.41,1810.6600000000003,178.56,259.46,65.41,835.8000000000001,535.38,2905.9199999999996
15,9.12.2017,chelsea,11.29,1821.9500000000003,-1.63,257.83,-67.82,767.98,-58.16,2847.7599999999998
16,12.12.2017,chelsea,196.13,2018.0800000000004,142.22,400.04999999999995,30.56,798.54,368.91,3216.6699999999996
17,16.12.2017,chelsea,197.05,2215.1300000000006,112.48,512.53,123.24,921.78,432.77,3649.4399999999996
18,23.12.2017,chelsea,120.71,2335.8400000000006,54.63,567.16,117.0,1038.78,292.34,3941.7799999999997
19,26.12.2017,chelsea,220.62,2556.4600000000005,185.6,752.76,121.8,1160.58,528.02,4469.799999999999
20,30.12.2017,chelsea,284.91,2841.3700000000003,165.2,917.96,70.88,1231.46,520.99,4990.789999999999
21,3.1.2018,chelsea,193.9,3035.2700000000004,33.34,951.3000000000001,30.47,1261.93,257.71,5248.499999999999
22,13.1.2018,chelsea,137.33,3172.6000000000004,16.83,968.1300000000001,-5.51,1256.42,148.65,5397.149999999999
23,20.1.2018,chelsea,300.64,3473.2400000000002,76.15,1044.2800000000002,132.25,1388.67,509.04,5906.189999999999
24,31.1.2018,chelsea,105.79,3579.03,62.69,1106.9700000000003,-96.78,1291.89,71.7,5977.8899999999985
25,5.2.2018,chelsea,20.8,3599.8300000000004,-2.68,1104.2900000000002,-15.61,1276.2800000000002,2.51,5980.399999999999
26,12.2.2018,chelsea,257.36,3857.1900000000005,63.59,1167.88,50.22,1326.5000000000002,371.17,6351.569999999999
27,25.2.2018,chelsea,173.82,4031.0100000000007,49.19,1217.0700000000002,-58.02,1268.4800000000002,164.99,6516.559999999999
28,4.3.2018,chelsea,29.53,4060.540000000001,-41.98,1175.0900000000001,-179.3,1089.1800000000003,-191.75,6324.809999999999
29,10.3.2018,chelsea,30.12,4090.6600000000008,23.39,1198.4800000000002,8.85,1098.0300000000002,62.36,6387.169999999998
30,1.4.2018,chelsea,136.6,4227.260000000001,-38.38,1160.1000000000001,61.79,1159.8200000000002,160.01,6547.1799999999985
31,8.4.2018,chelsea,162.14,4389.4000000000015,157.59,1317.69,51.28,1211.1000000000001,371.01,6918.189999999999
32,14.4.2018,chelsea,233.31,4622.710000000002,42.8,1360.49,-13.84,1197.2600000000002,262.27,7180.459999999999
